                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                  2.778,                 3.8344,                 2.2585,                0.00025,                0.07895,                0.00034,                  5e-05,                 3.5574,                 4.6091,                  3.118,              0.0093664,              0.0093664,              0.0093664
                     66,                 2.9096,                 3.7308,                 2.3553,                0.00034,                0.10526,                0.00026,                  4e-05,                 3.6242,                 4.9548,                 3.0797,              0.0093565,              0.0093565,              0.0093565
                     67,                 2.9473,                 3.7891,                   2.27,                 0.0005,                0.15789,                0.00036,                  6e-05,                 3.8855,                 4.9101,                 3.1987,              0.0093466,              0.0093466,              0.0093466
                     68,                 2.7652,                 3.8139,                 2.2404,                0.00025,                0.07895,                0.00023,                  6e-05,                 3.7178,                 4.8217,                  3.162,              0.0093367,              0.0093367,              0.0093367
                     69,                 2.8297,                 3.9919,                 2.4119,                  8e-05,                0.02632,                  4e-05,                  1e-05,                 3.7869,                 5.3056,                 3.3588,              0.0093268,              0.0093268,              0.0093268
                     70,                 2.9962,                 3.8924,                 2.3612,                  8e-05,                0.02632,                  5e-05,                  1e-05,                  3.661,                 4.9251,                 3.4347,              0.0093169,              0.0093169,              0.0093169
                     71,                 2.9011,                 3.9032,                 2.4171,                0.00042,                0.13158,                0.00043,                0.00011,                 3.5775,                 4.9556,                 3.4363,               0.009307,               0.009307,               0.009307
                     72,                 3.1052,                 4.3324,                 2.5324,                0.00033,                0.10526,                0.00094,                0.00021,                 3.6167,                 4.6396,                 3.6245,              0.0092971,              0.0092971,              0.0092971
                     73,                   3.07,                 4.1261,                 2.4704,                0.00025,                0.07895,                0.00036,                  7e-05,                  3.768,                 4.8722,                 3.8047,              0.0092872,              0.0092872,              0.0092872
                     74,                 2.9392,                 4.0267,                 2.4682,                0.00033,                0.07895,                0.00073,                0.00022,                 3.6598,                 4.6665,                 3.4524,              0.0092773,              0.0092773,              0.0092773
                     75,                 2.8674,                 3.9664,                  2.344,                 0.0003,                0.07895,                0.00021,                  2e-05,                 3.6768,                 4.8832,                 3.4464,              0.0092674,              0.0092674,              0.0092674
                     76,                 3.0926,                 3.7609,                 2.3587,                0.00014,                0.02632,                  8e-05,                  2e-05,                 3.6075,                 5.2786,                 3.2807,              0.0092575,              0.0092575,              0.0092575
                     77,                 2.9577,                 3.7517,                 2.3822,                0.00016,                0.02632,                 0.0001,                  3e-05,                 3.6762,                 6.2263,                 3.3273,              0.0092476,              0.0092476,              0.0092476
                     78,                 2.9653,                 3.7344,                  2.379,                0.00014,                0.02632,                  8e-05,                  1e-05,                 3.7461,                 5.5976,                 3.3793,              0.0092377,              0.0092377,              0.0092377
                     79,                 3.0144,                 3.8178,                  2.497,                  9e-05,                0.02632,                0.00012,                  6e-05,                  3.684,                  6.525,                  3.305,              0.0092278,              0.0092278,              0.0092278
                     80,                 3.0012,                 3.8929,                 2.4498,                0.00077,                0.02632,                 0.0003,                0.00011,                 3.6894,                  6.558,                 3.3604,              0.0092179,              0.0092179,              0.0092179
                     81,                 2.8864,                 3.7346,                 2.3621,                0.50526,                0.02632,                0.00075,                0.00018,                 3.8063,                 5.7018,                 3.5054,               0.009208,               0.009208,               0.009208
                     82,                 2.7576,                 3.6862,                 2.2852,                0.00559,                0.02632,                0.00057,                0.00018,                 3.5336,                  39.62,                  3.558,              0.0091981,              0.0091981,              0.0091981
                     83,                 2.8888,                  3.837,                 2.3029,                0.51357,                0.05263,                0.00195,                0.00037,                 3.4524,                 14.253,                 3.9689,              0.0091882,              0.0091882,              0.0091882
