                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                  3.109,                 3.9562,                 2.4778,                0.00017,                0.05263,                0.00013,                  5e-05,                 4.0702,                 18.769,                  4.137,              0.0095248,              0.0095248,              0.0095248
                     50,                 2.7663,                 3.8134,                 2.2733,                0.00033,                0.10526,                0.00034,                0.00012,                 3.9343,                 10.919,                 3.6042,              0.0095149,              0.0095149,              0.0095149
                     51,                 2.8859,                 3.9125,                 2.4426,                0.00462,                0.02632,                0.00181,                0.00082,                 3.7075,                 45.199,                 6.0846,               0.009505,               0.009505,               0.009505
                     52,                 3.0098,                 4.0148,                 2.4871,                0.50245,                0.05263,                0.00066,                0.00022,                 3.5702,                 65.146,                 3.9892,              0.0094951,              0.0094951,              0.0094951
                     53,                 2.8146,                 3.9429,                 2.3896,                0.00034,                0.10526,                0.00026,                  4e-05,                 3.7995,                 10.881,                 3.3466,              0.0094852,              0.0094852,              0.0094852
                     54,                 2.8742,                 4.0563,                 2.3006,                0.00034,                0.10526,                0.00024,                  3e-05,                 3.7401,                 14.117,                 3.3609,              0.0094753,              0.0094753,              0.0094753
                     55,                 3.1176,                 4.3182,                 2.4802,                  9e-05,                0.02632,                  5e-05,                      0,                 3.7788,                 5.1988,                 4.0436,              0.0094654,              0.0094654,              0.0094654
                     56,                 2.8714,                  3.853,                 2.3328,                0.00025,                0.07895,                0.00015,                  3e-05,                 3.4814,                  5.728,                 3.1936,              0.0094555,              0.0094555,              0.0094555
                     57,                 2.8877,                  3.683,                 2.4349,                0.00017,                0.05263,                 0.0001,                  2e-05,                 3.3303,                 8.2526,                 3.4305,              0.0094456,              0.0094456,              0.0094456
                     58,                 3.0134,                 3.8972,                 2.4186,                0.00025,                0.07895,                0.00019,                  4e-05,                  3.468,                  5.592,                 3.4102,              0.0094357,              0.0094357,              0.0094357
