                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.95971,                 1.0691,                 1.1554,                0.63997,                0.42557,                0.37553,                0.27915,                 1.2457,                 1.6298,                 1.4285,              0.0094456,              0.0094456,              0.0094456
                     58,                 0.9538,                 1.0825,                 1.1636,                0.62847,                0.41686,                0.39428,                0.27047,                 1.2934,                 1.6306,                 1.4449,              0.0094357,              0.0094357,              0.0094357
                     59,                0.94256,                 1.0544,                 1.1439,                0.64835,                0.39018,                0.40338,                0.28848,                 1.2681,                 1.7411,                 1.4312,              0.0094258,              0.0094258,              0.0094258
                     60,                0.94078,                 1.0281,                 1.1339,                0.57035,                0.43567,                0.43749,                0.30229,                 1.2933,                 1.7411,                 1.4624,              0.0094159,              0.0094159,              0.0094159
                     61,                0.91749,                0.98282,                 1.1187,                0.54163,                 0.4057,                0.40834,                0.29274,                 1.2509,                  1.651,                 1.4412,               0.009406,               0.009406,               0.009406
                     62,                0.91359,                 1.0062,                 1.1272,                0.57825,                0.41519,                0.42681,                0.29438,                 1.2963,                 1.6297,                 1.4606,              0.0093961,              0.0093961,              0.0093961
                     63,                 0.8879,                0.95879,                 1.1051,                0.61109,                0.43698,                0.43345,                0.29644,                 1.2511,                 1.6119,                 1.4389,              0.0093862,              0.0093862,              0.0093862
                     64,                0.90865,                0.96302,                 1.1237,                0.57442,                0.41875,                0.41798,                0.30512,                 1.2415,                 1.6707,                 1.4416,              0.0093763,              0.0093763,              0.0093763
                     65,                0.90052,                0.96386,                 1.1105,                 0.5778,                0.48883,                0.44873,                 0.2974,                 1.2621,                 1.5964,                 1.4624,              0.0093664,              0.0093664,              0.0093664
                     66,                0.89815,                 0.9763,                 1.1135,                0.53039,                0.43158,                0.41838,                0.29327,                  1.261,                  1.658,                 1.4331,              0.0093565,              0.0093565,              0.0093565
                     67,                0.88324,                0.92368,                 1.1092,                0.52008,                0.43507,                0.39276,                0.27848,                 1.2698,                 1.5458,                 1.4662,              0.0093466,              0.0093466,              0.0093466
                     68,                0.87135,                0.90695,                 1.0962,                0.59505,                0.39524,                0.39393,                0.29343,                 1.2421,                 1.6054,                 1.4246,              0.0093367,              0.0093367,              0.0093367
                     69,                0.88993,                 0.9463,                 1.0993,                0.48117,                0.46762,                0.42488,                0.30556,                 1.1891,                 1.6342,                 1.3737,              0.0093268,              0.0093268,              0.0093268
                     70,                0.89509,                0.93424,                 1.1079,                0.44255,                0.49354,                 0.4441,                 0.3095,                 1.2636,                 1.5844,                 1.4451,              0.0093169,              0.0093169,              0.0093169
                     71,                 0.8784,                0.93368,                 1.1062,                0.63525,                0.41552,                0.45059,                0.32121,                 1.3007,                  1.766,                 1.4557,               0.009307,               0.009307,               0.009307
                     72,                 0.8594,                0.89755,                 1.0929,                0.46538,                 0.4911,                 0.4372,                0.29604,                 1.2247,                 1.5912,                 1.4163,              0.0092971,              0.0092971,              0.0092971
                     73,                0.84985,                0.87274,                 1.0841,                0.57945,                0.48878,                0.45166,                0.30854,                 1.2452,                 1.6647,                 1.4405,              0.0092872,              0.0092872,              0.0092872
                     74,                0.86334,                0.88357,                 1.0917,                0.61931,                0.41143,                0.42068,                0.29695,                 1.2729,                 1.6382,                 1.4809,              0.0092773,              0.0092773,              0.0092773
                     75,                0.85974,                0.88965,                 1.0901,                0.64038,                0.45887,                0.46175,                0.32798,                 1.2018,                 1.5074,                 1.4142,              0.0092674,              0.0092674,              0.0092674
                     76,                0.84525,                 0.8565,                 1.0905,                0.62544,                0.43084,                0.47881,                0.32466,                 1.2203,                 1.5764,                 1.4336,              0.0092575,              0.0092575,              0.0092575
                     77,                0.84557,                0.87055,                 1.0756,                0.69114,                0.39549,                0.49092,                 0.3335,                 1.2451,                 1.6066,                  1.432,              0.0092476,              0.0092476,              0.0092476
                     78,                0.85285,                0.85349,                 1.0906,                 0.6553,                0.39761,                0.42695,                0.30948,                 1.2351,                 1.6396,                 1.4225,              0.0092377,              0.0092377,              0.0092377
                     79,                0.83778,                0.83107,                 1.0809,                0.69531,                0.39688,                0.45171,                 0.3038,                 1.3061,                 1.7501,                 1.5143,              0.0092278,              0.0092278,              0.0092278
                     80,                 0.8447,                0.83945,                 1.0758,                0.79573,                0.40634,                0.48438,                0.32746,                 1.2208,                 1.5624,                 1.4332,              0.0092179,              0.0092179,              0.0092179
                     81,                 0.8362,                0.81799,                 1.0783,                0.64567,                0.38981,                0.42269,                0.29319,                 1.2678,                 1.6743,                 1.4919,               0.009208,               0.009208,               0.009208
                     82,                0.82134,                0.80636,                 1.0705,                0.68494,                0.38285,                0.39032,                0.29598,                 1.2045,                 1.6851,                 1.4249,              0.0091981,              0.0091981,              0.0091981
                     83,                0.80343,                0.79357,                 1.0649,                0.71805,                 0.3782,                0.42172,                 0.3068,                 1.1986,                  1.652,                 1.4259,              0.0091882,              0.0091882,              0.0091882
                     84,                0.81968,                0.79068,                 1.0655,                0.63548,                0.40627,                0.44698,                  0.316,                 1.2057,                 1.7018,                 1.4204,              0.0091783,              0.0091783,              0.0091783
                     85,                0.82139,                0.78504,                 1.0587,                0.63367,                0.41526,                0.44014,                0.31837,                 1.2169,                 1.7631,                 1.4154,              0.0091684,              0.0091684,              0.0091684
                     86,                0.81557,                0.77277,                 1.0624,                0.64689,                0.38384,                0.42038,                0.31073,                 1.2565,                 1.8168,                  1.449,              0.0091585,              0.0091585,              0.0091585
                     87,                0.82029,                0.77832,                 1.0624,                0.64786,                0.40838,                0.42519,                0.30699,                 1.2348,                 1.5792,                 1.4531,              0.0091486,              0.0091486,              0.0091486
                     88,                0.78805,                0.75571,                 1.0429,                 0.5108,                0.44239,                0.38075,                 0.2633,                 1.2887,                 1.8198,                  1.494,              0.0091387,              0.0091387,              0.0091387
                     89,                0.79718,                0.76922,                 1.0461,                0.68467,                0.39744,                0.43465,                0.30296,                 1.2537,                 1.8159,                 1.4515,              0.0091288,              0.0091288,              0.0091288
                     90,                0.79488,                0.75483,                 1.0423,                0.54829,                0.47276,                0.46334,                 0.3172,                  1.262,                 1.6561,                 1.4775,              0.0091189,              0.0091189,              0.0091189
                     91,                0.80734,                 0.7606,                 1.0486,                0.64793,                0.43489,                0.42131,                 0.3011,                 1.2996,                 1.7787,                 1.5134,               0.009109,               0.009109,               0.009109
                     92,                0.78828,                0.74671,                 1.0493,                0.57633,                0.45272,                0.40838,                0.29206,                 1.3203,                 1.7224,                 1.5319,              0.0090991,              0.0090991,              0.0090991
                     93,                 0.7877,                0.74045,                 1.0444,                0.61454,                0.42856,                0.41247,                0.30362,                 1.2611,                 1.6436,                 1.4913,              0.0090892,              0.0090892,              0.0090892
                     94,                0.78266,                0.73388,                 1.0445,                0.53748,                0.43889,                0.39386,                0.28763,                 1.2818,                 1.8425,                 1.5028,              0.0090793,              0.0090793,              0.0090793
                     95,                0.79226,                 0.7521,                 1.0472,                0.54093,                0.42343,                0.44628,                0.29788,                 1.2467,                 1.8123,                  1.452,              0.0090694,              0.0090694,              0.0090694
                     96,                0.77614,                0.73261,                 1.0439,                0.69793,                0.35811,                0.41443,                0.29805,                 1.2713,                 1.7783,                 1.4593,              0.0090595,              0.0090595,              0.0090595
                     97,                0.79496,                0.73753,                  1.044,                0.58503,                0.40822,                0.45474,                0.30642,                 1.2955,                 1.7681,                  1.521,              0.0090496,              0.0090496,              0.0090496
                     98,                0.77865,                0.72321,                 1.0362,                0.66387,                0.36707,                0.39682,                0.30208,                 1.2887,                 1.7814,                 1.4873,              0.0090397,              0.0090397,              0.0090397
                     99,                0.74605,                0.69309,                 1.0218,                 0.5117,                0.45163,                0.41927,                 0.3033,                 1.2422,                 1.7154,                   1.46,              0.0090298,              0.0090298,              0.0090298
                    100,                0.77163,                0.69926,                 1.0295,                0.71291,                0.38914,                 0.4153,                0.30193,                 1.3036,                 1.7249,                 1.4989,              0.0090199,              0.0090199,              0.0090199
                    101,                0.75834,                0.69612,                 1.0311,                0.70848,                0.37765,                0.45183,                0.32323,                 1.2352,                 1.6965,                 1.4535,                0.00901,                0.00901,                0.00901
                    102,                0.74955,                0.69407,                 1.0302,                0.66276,                0.38342,                0.39809,                 0.2886,                 1.2497,                 1.7673,                 1.4664,              0.0090001,              0.0090001,              0.0090001
                    103,                0.74032,                0.66787,                 1.0194,                0.62868,                0.45804,                0.45559,                0.31313,                 1.2883,                 1.8689,                 1.5065,              0.0089902,              0.0089902,              0.0089902
                    104,                0.74584,                0.66894,                 1.0171,                 0.6528,                0.44087,                 0.4399,                0.29904,                 1.2774,                 1.8994,                 1.4963,              0.0089803,              0.0089803,              0.0089803
                    105,                0.75246,                0.67447,                  1.022,                0.74248,                0.39783,                0.47364,                0.33522,                 1.2545,                 1.7371,                 1.4782,              0.0089704,              0.0089704,              0.0089704
                    106,                0.74362,                0.66588,                 1.0204,                0.64175,                0.39731,                0.42202,                0.30637,                 1.2748,                 1.7365,                 1.5025,              0.0089605,              0.0089605,              0.0089605
                    107,                0.72777,                0.65835,                 1.0123,                0.59072,                0.44398,                0.46278,                0.31325,                 1.2595,                 1.8388,                 1.4784,              0.0089506,              0.0089506,              0.0089506
                    108,                  0.745,                0.68239,                 1.0129,                0.64665,                0.41496,                0.44593,                0.31678,                 1.2709,                 1.7239,                 1.5014,              0.0089407,              0.0089407,              0.0089407
                    109,                0.74036,                0.66511,                 1.0139,                0.63444,                0.45968,                0.49108,                0.33124,                 1.2656,                 1.7022,                 1.4845,              0.0089308,              0.0089308,              0.0089308
                    110,                0.74456,                0.66746,                 1.0115,                0.60606,                0.39919,                0.39615,                0.29161,                 1.2402,                 1.8248,                 1.4637,              0.0089209,              0.0089209,              0.0089209
                    111,                0.72306,                0.64896,                 1.0074,                0.73986,                 0.3699,                 0.4251,                0.32119,                 1.2568,                 1.8052,                  1.483,               0.008911,               0.008911,               0.008911
                    112,                0.72275,                0.64562,                 1.0044,                0.70084,                0.44471,                0.45662,                0.31887,                 1.2879,                  1.743,                 1.5106,              0.0089011,              0.0089011,              0.0089011
                    113,                0.72443,                 0.6454,                 1.0147,                0.70417,                0.39173,                0.42154,                 0.3185,                 1.2098,                 1.6914,                 1.4535,              0.0088912,              0.0088912,              0.0088912
                    114,                0.72661,                0.63936,                   1.01,                0.59821,                 0.4337,                0.46919,                0.32326,                 1.2256,                 1.8764,                 1.4483,              0.0088813,              0.0088813,              0.0088813
                    115,                0.74342,                0.64915,                 1.0191,                 0.5258,                0.45125,                0.45205,                0.31343,                 1.2469,                 1.9445,                 1.4804,              0.0088714,              0.0088714,              0.0088714
                    116,                0.71083,                0.63771,                 1.0029,                0.57485,                0.44212,                0.47139,                0.34122,                 1.2458,                 1.7422,                 1.4886,              0.0088615,              0.0088615,              0.0088615
                    117,                0.72359,                0.62821,                0.99731,                0.69621,                0.39195,                0.45199,                0.31862,                 1.2641,                 1.8934,                 1.4979,              0.0088516,              0.0088516,              0.0088516
                    118,                0.72345,                0.64974,                 1.0143,                0.61019,                0.40671,                0.46582,                0.32878,                 1.2376,                 1.7312,                 1.4957,              0.0088417,              0.0088417,              0.0088417
                    119,                0.70157,                0.62218,                0.99621,                0.68956,                0.34781,                0.41431,                0.30972,                 1.2548,                 1.9394,                 1.4929,              0.0088318,              0.0088318,              0.0088318
                    120,                0.69625,                0.60274,                0.98442,                0.70646,                0.39006,                0.42957,                0.31582,                 1.2395,                 1.7659,                 1.4841,              0.0088219,              0.0088219,              0.0088219
                    121,                0.70745,                 0.6313,                  0.998,                0.71805,                0.38141,                0.43955,                0.30703,                 1.2645,                 1.8809,                 1.5105,               0.008812,               0.008812,               0.008812
                    122,                0.70366,                0.60878,                0.99574,                0.69132,                0.37917,                0.43051,                 0.2975,                 1.2778,                 1.8796,                  1.513,              0.0088021,              0.0088021,              0.0088021
                    123,                0.69749,                0.60808,                0.99669,                0.57887,                0.44218,                0.44882,                0.32374,                 1.2367,                 1.8086,                 1.4683,              0.0087922,              0.0087922,              0.0087922
                    124,                0.68738,                0.60291,                0.98436,                0.60774,                0.45667,                0.44082,                0.31142,                 1.2753,                  1.867,                 1.4929,              0.0087823,              0.0087823,              0.0087823
                    125,                0.70784,                0.61423,                0.99443,                0.65757,                0.37364,                0.43415,                0.30861,                 1.2211,                 1.8309,                 1.4767,              0.0087724,              0.0087724,              0.0087724
                    126,                0.69435,                0.60233,                0.99162,                0.72352,                0.41772,                0.41633,                0.30701,                 1.2212,                 1.9019,                 1.4692,              0.0087625,              0.0087625,              0.0087625
                    127,                0.69138,                0.60025,                0.98804,                 0.5892,                0.41874,                 0.4338,                0.31883,                 1.1987,                 1.8786,                  1.465,              0.0087526,              0.0087526,              0.0087526
                    128,                0.69278,                0.59274,                0.99537,                0.58875,                0.42605,                0.41128,                0.30675,                 1.2638,                   1.88,                 1.5128,              0.0087427,              0.0087427,              0.0087427
                    129,                0.69504,                0.60436,                0.98568,                0.55883,                0.45509,                0.41101,                0.30427,                 1.2491,                 1.7766,                  1.474,              0.0087328,              0.0087328,              0.0087328
                    130,                0.67995,                0.57314,                0.98679,                0.66138,                0.47779,                 0.4793,                0.33169,                 1.2839,                 1.7824,                 1.5239,              0.0087229,              0.0087229,              0.0087229
                    131,                0.68356,                0.57041,                0.98148,                0.74424,                0.36648,                0.43063,                0.30059,                 1.2684,                 1.8468,                 1.5218,               0.008713,               0.008713,               0.008713
                    132,                0.69466,                0.60383,                0.98701,                0.47867,                 0.4657,                0.47135,                0.31381,                  1.248,                 1.8333,                 1.5016,              0.0087031,              0.0087031,              0.0087031
