                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.94273,                 1.0003,                 1.1278,                0.63042,                 0.4056,                0.42177,                0.29236,                 1.3076,                 1.6728,                 1.4844,              0.0092476,              0.0092476,              0.0092476
                     78,                0.94198,                0.97961,                 1.1402,                0.57425,                0.48535,                0.44884,                0.31009,                 1.3316,                  1.615,                 1.4774,              0.0092377,              0.0092377,              0.0092377
                     79,                0.92801,                0.98979,                 1.1343,                0.58454,                0.43325,                0.42722,                0.30328,                 1.3156,                  1.621,                 1.4849,              0.0092278,              0.0092278,              0.0092278
                     80,                0.93536,                0.96984,                  1.127,                0.42904,                0.42906,                0.43992,                0.31631,                  1.327,                 1.5732,                  1.493,              0.0092179,              0.0092179,              0.0092179
                     81,                0.92977,                0.94128,                 1.1283,                0.60329,                0.43003,                0.43244,                0.30634,                 1.3292,                   1.66,                 1.5045,               0.009208,               0.009208,               0.009208
                     82,                0.91794,                0.94993,                 1.1216,                0.73732,                0.36462,                0.41379,                0.29824,                 1.3413,                 1.6948,                 1.5067,              0.0091981,              0.0091981,              0.0091981
                     83,                 0.9105,                0.94116,                 1.1191,                0.56831,                0.40483,                0.43374,                0.28982,                 1.3065,                 1.6819,                 1.4846,              0.0091882,              0.0091882,              0.0091882
                     84,                0.92167,                0.96771,                  1.116,                0.61694,                0.47716,                0.43972,                0.30079,                 1.3199,                 1.6935,                 1.4813,              0.0091783,              0.0091783,              0.0091783
                     85,                0.92487,                0.93599,                 1.1169,                0.49421,                0.43441,                0.46996,                0.31267,                 1.3357,                 1.6903,                  1.542,              0.0091684,              0.0091684,              0.0091684
                     86,                0.90855,                0.91891,                 1.1137,                 0.7058,                0.38991,                0.43289,                0.31147,                 1.2686,                 1.6864,                 1.4629,              0.0091585,              0.0091585,              0.0091585
